train/explained_variance,parameters/mlp_extractor.policy_net.2.bias,_runtime,time/fps,gradients/action_net.bias,train/policy_gradient_loss,sr2l/update_counter,parameters/mlp_extractor.policy_net.2.weight,parameters/action_net.bias,train/clip_range,gradients/mlp_extractor.value_net.2.bias,train/clip_fraction,global_step,robot/x_position,gradients/log_std,gradients/value_net.weight,parameters/action_net.weight,_timestamp,gradients/mlp_extractor.value_net.0.weight,sr2l/current_lambda,gradients/mlp_extractor.policy_net.0.weight,parameters/mlp_extractor.value_net.2.weight,parameters/mlp_extractor.value_net.0.weight,parameters/log_std,gradients/mlp_extractor.value_net.0.bias,rollout/ep_rew_mean,gradients/mlp_extractor.policy_net.2.bias,train/std,train/value_loss,curriculum/current_phase,robot/velocity_ms,sr2l/loss,gradients/action_net.weight,parameters/mlp_extractor.value_net.2.bias,gradients/mlp_extractor.value_net.2.weight,parameters/value_net.weight,gradients/mlp_extractor.policy_net.2.weight,train/entropy_loss,rollout/ep_len_mean,gradients/value_net.bias,sr2l/smoothness_score,parameters/value_net.bias,_step,train/approx_kl,sr2l/perturbation_std,gradients/mlp_extractor.policy_net.0.bias,parameters/mlp_extractor.value_net.0.bias,parameters/mlp_extractor.policy_net.0.bias,train/learning_rate,parameters/mlp_extractor.policy_net.0.weight,sr2l/curriculum_progress,robot/height,robot/total_distance
,,3959.440612601,,,,,,,,,,2662400.0,,,,,1761512086.7050297,,,,,,,,,,,,,,3.5221627,,,,,,,,,,,29871,,,,,,,,,,
,,4159.60549861,,,,,,,,,,2795520.0,,,,,1761512283.1821294,,,,,,,,,,,,,,,,,,,,,,,,,31371,0.012275366,,,,,,,,,
,,4474.849417524,,,,,,,,,,3010560.0,,,,,1761512600.4905965,,,,,,,,270455.06,,,,,,,,,,,,,,,,,33778,,,,,,,,,,
,,4514.884473432,,,,,,,,,,3039232.0,,,,,1761512642.767804,,,,,,,,,,,,,,,,,,,,,,,,,34108,0.0127938455,,,,,,,,,
,,4554.915057133,,,,,,,,,,3063808.0,,,,,1761512679.09087,,,,,,,,,,,,,,,,,,,,,,,,,34371,,,,,,,,,0.14833301,
,,4780.102343376,,,,,,,,,,3217408.0,,,,,1761512905.925632,,,,,,,,,,,,,,,,,,,,-4.264042,,,,,36112,,,,,,,,,,
,,4950.244548053,,,,,,,,,,3334144.0,,,,,1761513078.3263047,,,,,,,,,,,0.0035794599,,,,,,,,,,,,,,37428,,,,,,,,,,
,,5295.523995836,,,,,,,,,,3567616.0,,,,,1761513423.6949837,,,,,,,,,,,,,,,,,,,,,,,,,40042,0.013786219,,,,,,,,,
,,5445.64108715,,,,,,,,,,3667968.0,,,,,1761513571.954451,,,,,,,,,,,,,,2.5773232,,,,,,,,,,,41164,,,,,,,,,,
,,5480.668675316,,,,,,,,,,3692544.0,,,,,1761513608.4245307,,,,,,,,,,,,,,,,,,,,-3.7175043,,,,,41448,,,,,,,,,,
,,5605.765798799,,,,,,,,,,3774464.0,,,,,1761513729.3062935,,,,,,,,,,,,,,,,,,,,,,,,,42352,,,,,,,,,0.1488895,
0.9597083,,5655.811739806,,,,,,,,,,3811328.0,,,,,1761513783.9351175,,,,,,,,,,,,,,,,,,,,,,,,,42783,,,,,,,,,,
,,5710.84864424,,,,,,,,,0.1821696,3848192.0,,,,,1761513838.3691704,,,,,,,,,,,,,,,,,,,,,,,,,43194,,,,,,,,,,
,,5750.8787079,,,,,,,,,,3874816.0,,,,,1761513877.5764768,,,,,,,,,,,0.008642952,,,,,,,,,,,,,,43500,,,,,,,,,,
,,6036.109874455,,,,,,,,,,4069376.0,,,,,1761514163.9531898,,,,,,,,264475.44,,,,,,,,,,,,,,,,,45669,,,,,,,,,,
,,6101.162658863,,,,,,,,,0.20365398,4112384.0,,,,,1761514227.5559285,,,,,,,,,,,,,,,,,,,,,,,,,46161,,,,,,,,,,
,,6206.243583178,,,,,,,,,,4182016.0,,,,,1761514330.3277092,,,,,,,,,,,,,,,,,,,,,,,,,46929,,,,,,,,,0.13478144,
,,6276.299802318,676.0,,,,,,,,,4229120.0,,,,,1761514399.930249,,,,,,,,,,,,,,,,,,,,,,,,,47470,,,,,,,,,,
0.9065245,,6321.336350494,,,,,,,,,,4259840.0,,,,,1761514445.4051325,,,,,,,,,,,,,,,,,,,,,,,,,47820,,,,,,,,,,
,,6416.413566113,,,,,,,0.15,,,4325376.0,,,,,1761514542.5356133,,,,,,,,,,,,,,,,,,,,,,,,,48554,,,,,,,,,,
,,6426.423961017,,,,,,,,,,4331520.0,,,,,1761514551.542188,,,,,,,,,,,,,,2.183608,,,,,,,,,,,48616,,,,,,,,,,
,,6466.453597452,,,,,,,,,,4360192.0,,,,,1761514593.9313467,,,,,,,,,,0.35964745,,,,,,,,,,,,,,,48950,,,,,,,,,,
,,6606.561044,,,,,,,,,,4454400.0,,,,,1761514733.138577,,,,,,,,,,0.35680312,,,,,,,,,,,,,,,50008,,,,,,,,,,
,,6726.655693626,,,,,,,,,,4534272.0,2.6168008,,,,1761514851.89546,,,,,,,,,,,,,,,,,,,,,,,,,50888,,,,,,,,,,
,,6836.745282839,,,,,,,,,,4610048.0,,,,,1761514963.9652596,,,,,,,,278386.5,,,,,,,,,,,,,,,,,51741,,,,,,,,,,
,,6991.878800428,,,,,,,,,,4714496.0,,,,,1761515118.1825175,,7.3632e-06,,,,,,,,,,,,,,,,,,,,,,,52915,,,,,,,,,,
,,7157.017548863,,,,,,,,,,4825088.0,,,,,1761515280.9343402,,,,,,,,,,,,,0.13794518,,,,,,,,,,,,54153,,,,,,,,,,
,,7347.16554464,,,,,,,,,,4954112.0,,,,,1761515471.1190321,,,,,,,,,,,,,,1.8795946,,,,,,,,,,,55608,,,,,,,,,,
,,7382.19474913,,,,,,,,,,4980736.0,,,,,1761515510.3677495,,7.7792e-06,,,,,,,,,,,,,,,,,,,,,,,55905,,,,,,,,,,
,,7432.236830605,,,,,,,,,,5011456.0,,,,,1761515555.916686,,,,,,,,,,,,,,,,,,,,,,,,,56244,,,,,,,,,0.1423527,
,,7577.360575864,,,,,,,0.15,,,5111808.0,,,,,1761515704.1159818,,,,,,,,,,,,,,,,,,,,,,,,,57386,,,,,,,,,,
,,7672.440169707,,,,,,,,,0.24092612,5175296.0,,,,,1761515797.723396,,,,,,,,,,,,,,,,,,,,,,,,,58098,,,,,,,,,,
,,7697.461193148,,,,,,,,,,5191680.0,,,,,1761515821.9037209,,,,,,,,,,,,,,,,,,,,,,,,,58275,,,,,,,,0.0081088,,
,,7887.609301847,,,,,,,,,,5320704.0,,,,,1761516012.1100008,,,,,,,,,,,0.0021221978,,,,,,,,,,,,,,59738,,,,,,,,,,
,,7957.659457777,676.0,,,,,,,,,5369856.0,,,,,1761516084.4377677,,,,,,,,,,,,,,,,,,,,,,,,,60281,,,,,,,,,,
,,8047.728434372,,,,,,,,,,5429248.0,,,,,1761516171.8650405,,,,,,,,273357.1,,,,,,,,,,,,,,,,,60941,,,,,,,,,,
,,8142.799682512,,,,,,,,,,5492736.0,,,,,1761516266.1541142,,,,,,,,,,,,,,,,,,,,,,,,,61658,,0.01,,,,,,,,
,,8157.811972404,,,,,,,,,,5505024.0,,,,,1761516284.73926,,,,,,,,,,,,,,,,,,,,,,,,,61800,0.01357677,,,,,,,,,
,,8177.827131977,,,,,,,,,0.13692221,5517312.0,,,,,1761516303.1873364,,,,,,,,,,,,,,,,,,,,,,,,,61939,,,,,,,,,,
,,8262.933187991,,,-0.018873543,,,,,,,5574656.0,,,,,1761516389.976542,,,,,,,,,,,,,,,,,,,,,,,,,62588,,,,,,,,,,
