global_step,parameters/mlp_extractor.policy_net.2.bias,gradients/mlp_extractor.value_net.2.weight,time/fps,train/explained_variance,_runtime,robot/height,curriculum/current_phase,parameters/value_net.weight,train/entropy_loss,train/clip_fraction,rollout/ep_len_mean,parameters/mlp_extractor.value_net.2.bias,train/clip_range,robot/velocity_ms,rollout/ep_rew_mean,gradients/action_net.weight,gradients/mlp_extractor.policy_net.2.weight,gradients/action_net.bias,gradients/mlp_extractor.value_net.0.bias,train/value_loss,parameters/action_net.bias,parameters/mlp_extractor.value_net.0.bias,train/approx_kl,train/loss,gradients/mlp_extractor.policy_net.0.weight,train/std,parameters/mlp_extractor.value_net.0.weight,gradients/mlp_extractor.policy_net.2.bias,robot/total_distance,_step,gradients/log_std,parameters/mlp_extractor.policy_net.2.weight,train/policy_gradient_loss,parameters/mlp_extractor.value_net.2.weight,_timestamp,gradients/value_net.bias,gradients/value_net.weight,gradients/mlp_extractor.value_net.2.bias,robot/x_position,parameters/log_std,train/learning_rate,parameters/mlp_extractor.policy_net.0.bias,gradients/mlp_extractor.value_net.0.weight,parameters/action_net.weight,parameters/mlp_extractor.policy_net.0.weight,gradients/mlp_extractor.policy_net.0.bias,parameters/value_net.bias
2449408.0,"{'values': [2, 2, 1, 0, 0, 2, 0, 2, 0, 0, 0, 1, 1, 1, 2, 0, 1, 1, 4, 2, 1, 3, 1, 1, 4, 2, 5, 2, 5, 3, 4, 5, 8, 3, 5, 5, 6, 4, 3, 3, 5, 1, 3, 2, 2, 0, 0, 2, 4, 1, 0, 1, 1, 0, 3, 0, 2, 3, 1, 0, 0, 1, 0, 1], 'packedBins': {'count': 64, 'min': -0.06632073223590851, 'size': 0.003011763561517}, '_type': 'histogram'}",,,,3408.777265158,,0.0,"{'_type': 'histogram', 'values': [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 3, 3, 5, 1, 3, 5, 5, 6, 4, 3, 3, 3, 2, 3, 1, 1, 5, 4, 4, 4, 5, 4, 6, 3, 11, 4, 2, 3, 3, 4, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.2760656177997589, 'size': 0.008132446091622114, 'count': 64}}",,,,"{'packedBins': {'min': -0.17847703397274017, 'size': 0.005937350215390325, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 0, 1, 0, 0, 2, 1, 1, 2, 0, 7, 2, 8, 6, 7, 4, 3, 3, 6, 2, 2, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 1, 2, 1, 3, 2, 3, 6, 6, 4, 7, 8, 5, 7, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]}",,,,,,,,,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.049413856118917465, 'size': 0.0016244794242084026, 'count': 64}}","{'packedBins': {'min': -0.23487120866775513, 'size': 0.0071051286067813635, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 2, 1, 3, 1, 0, 3, 0, 3, 1, 3, 4, 1, 1, 3, 0, 2, 1, 3, 2, 1, 2, 1, 4, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 1, 3, 0, 1]}",,,,,"{'_type': 'histogram', 'values': [1, 1, 0, 1, 0, 0, 0, 1, 0, 2, 3, 1, 2, 4, 6, 9, 9, 22, 19, 26, 23, 42, 36, 34, 53, 81, 83, 93, 109, 116, 106, 120, 114, 98, 100, 82, 79, 64, 57, 51, 51, 43, 31, 12, 14, 11, 6, 8, 7, 8, 6, 3, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2], 'packedBins': {'min': -0.7511707544326782, 'size': 0.024137859232723713, 'count': 64}}",,,21500,,"{'packedBins': {'min': -0.592789888381958, 'size': 0.017495280131697655, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 3, 0, 3, 7, 5, 7, 23, 25, 41, 32, 44, 58, 68, 91, 103, 118, 149, 173, 228, 236, 233, 269, 307, 305, 331, 378, 373, 376, 362, 352, 406, 380, 345, 324, 290, 267, 222, 194, 207, 159, 154, 102, 89, 85, 69, 57, 29, 30, 24, 22, 10, 9, 10, 1, 1, 2, 1, 2]}",,"{'_type': 'histogram', 'values': [2, 0, 1, 2, 2, 1, 9, 2, 7, 5, 18, 26, 40, 35, 35, 57, 68, 86, 88, 109, 135, 165, 182, 242, 252, 296, 310, 331, 333, 367, 382, 407, 421, 378, 380, 372, 392, 329, 287, 263, 237, 220, 173, 164, 126, 107, 79, 61, 50, 34, 35, 22, 24, 12, 6, 8, 8, 2, 3, 1, 0, 2, 0, 1], 'packedBins': {'min': -0.5104451179504395, 'size': 0.01584408525377512, 'count': 64}}",1761511534.4716742,,,,,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.6742764115333557, 'size': 0.004089925903826952, 'count': 64}}",,"{'values': [1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 1, 2, 2, 1, 0, 2, 3, 0, 1, 2, 1, 4, 2, 2, 2, 1, 3, 2, 2, 2, 1, 4, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 4, 1, 1, 1, 1, 1, 0, 0, 1], 'packedBins': {'count': 64, 'min': -0.1114543229341507, 'size': 0.0044545449782162905}, '_type': 'histogram'}",,"{'_type': 'histogram', 'values': [1, 1, 0, 1, 0, 4, 3, 4, 3, 11, 7, 8, 8, 11, 10, 11, 18, 23, 27, 25, 26, 28, 31, 30, 32, 35, 49, 32, 35, 44, 36, 47, 46, 37, 34, 38, 22, 34, 37, 26, 23, 16, 21, 23, 13, 9, 7, 5, 6, 9, 3, 4, 3, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0, 1], 'packedBins': {'min': -0.194585919380188, 'size': 0.006692203460261226, 'count': 64}}","{'packedBins': {'min': -0.6336013078689575, 'size': 0.020318190567195415, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 1, 3, 3, 4, 6, 7, 7, 7, 14, 13, 14, 28, 29, 25, 33, 37, 37, 38, 40, 48, 58, 62, 56, 66, 72, 70, 72, 83, 66, 70, 70, 71, 72, 66, 58, 46, 68, 45, 39, 40, 27, 25, 20, 16, 20, 20, 19, 12, 7, 11, 8, 4, 2, 4, 5, 3, 3, 3, 1, 0, 1]}",,"{'_type': 'histogram', 'values': [1], 'bins': [0.11734899878501892, 0.11734899878501892]}"
2482176.0,,,,,3453.816391381,,,,,,,,,,,,,,,,,,,,,,,,,21801,,,,,1761511579.6492112,,,,,,0.0003,,,,,,
2521088.0,,,,,3508.857143187,,,,,,1000.0,,,,,,,,,,,,,,,,,,,22135,,,,,1761511633.393241,,,,,,,,,,,,
2521088.0,,,,,3508.85726854,,,,,,,,0.2,,,,,,,,,,,,,,,,,22140,,,,,1761511633.3932931,,,,,,,,,,,,
2654208.0,,,,,3693.999897662,,,,,,,,0.2,,,,,,,,,,,,,,,,,23310,,,,,1761511817.7140074,,,,,,,,,,,,
2707456.0,,,,,3764.055582162,,,,,,,,,,,,,,,,,,0.022026446,,,,,,,23776,,,,,1761511891.3842444,,,,,,,,,,,,
2742272.0,,,,,3814.094520419,,,,,,,,,,,,,,,,,,,,,,,,,24087,,,,,1761511939.292614,,,,,,0.0003,,,,,,
3043328.0,,,,,4229.418640415,0.14622712,,,,,,,,,,,,,,,,,,,,,,,,26721,,,,,1761512355.9780731,,,,,,,,,,,,
3076096.0,,,,0.79306245,4274.454679084,,,,,,,,,,,,,,,,,,,,,,,,,27020,,,,,1761512401.1249526,,,,,,,,,,,,
3110912.0,"{'values': [1, 1, 2, 3, 1, 3, 2, 0, 0, 1, 0, 2, 0, 1, 4, 1, 0, 4, 3, 4, 1, 1, 3, 1, 4, 2, 5, 5, 5, 2, 9, 4, 6, 8, 3, 2, 0, 1, 4, 1, 1, 1, 4, 2, 4, 0, 3, 1, 2, 3, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'count': 64, 'min': -0.06487433612346649, 'size': 0.0032375832088291645}, '_type': 'histogram'}",,,,4324.492976039,,0.0,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 3, 0, 4, 2, 5, 2, 3, 4, 6, 8, 3, 4, 3, 2, 1, 0, 5, 3, 2, 4, 7, 3, 6, 8, 5, 7, 2, 4, 5, 2, 1, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'size': 0.008475055219605565, 'count': 64, 'min': -0.29321008920669556}}",,,,"{'_type': 'histogram', 'values': [1, 0, 0, 1, 0, 1, 2, 1, 0, 1, 4, 3, 4, 4, 6, 6, 6, 3, 4, 4, 5, 0, 2, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3, 3, 0, 1, 0, 3, 1, 3, 5, 1, 10, 1, 7, 6, 7, 5, 4, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.18684424459934235, 'size': 0.006324591347947717, 'count': 64}}",,,,,,,,,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.04577748104929924, 'size': 0.001596073154360056, 'count': 64}}","{'packedBins': {'min': -0.27061590552330017, 'size': 0.007952350191771984, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 2, 3, 0, 3, 2, 1, 0, 1, 3, 1, 2, 2, 3, 0, 2, 1, 3, 1, 3, 0, 1, 2, 4, 3, 2, 1, 2, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1]}",,,,,"{'_type': 'histogram', 'values': [1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 4, 0, 8, 6, 11, 17, 17, 24, 36, 29, 39, 33, 60, 73, 87, 115, 121, 116, 135, 131, 108, 106, 107, 79, 64, 64, 54, 53, 45, 25, 19, 9, 6, 8, 8, 8, 7, 6, 2, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 2], 'packedBins': {'count': 64, 'min': -0.8226365447044373, 'size': 0.025910453870892525}}",,,27314,,"{'packedBins': {'min': -0.5907695889472961, 'size': 0.017504917457699776, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 0, 1, 1, 1, 3, 8, 8, 9, 15, 19, 28, 31, 45, 57, 51, 77, 97, 109, 131, 165, 185, 207, 225, 266, 253, 288, 339, 307, 365, 409, 354, 355, 376, 350, 390, 332, 331, 282, 257, 232, 185, 195, 158, 135, 110, 111, 73, 73, 49, 38, 25, 18, 20, 15, 13, 7, 1, 0, 4, 1, 1]}",,"{'_type': 'histogram', 'values': [3, 0, 0, 0, 5, 0, 4, 6, 7, 8, 11, 21, 37, 31, 45, 37, 69, 85, 81, 103, 119, 145, 185, 217, 268, 281, 333, 341, 313, 343, 388, 405, 419, 413, 378, 398, 358, 352, 298, 277, 240, 216, 204, 157, 121, 122, 84, 56, 51, 39, 30, 27, 16, 14, 7, 6, 9, 3, 2, 1, 1, 1, 0, 1], 'packedBins': {'size': 0.016180770471692085, 'count': 64, 'min': -0.5260428786277771}}",1761512449.5607414,,,,,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'count': 64, 'min': -0.8026527762413025, 'size': 0.0040857428684830666}}",,"{'values': [1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 2, 2, 1, 1, 1, 3, 1, 1, 3, 2, 2, 0, 4, 2, 2, 1, 3, 4, 1, 1, 0, 2, 0, 1, 1, 1, 0, 1, 0, 2, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1], 'packedBins': {'count': 64, 'min': -0.11726907640695572, 'size': 0.004583653644658625}, '_type': 'histogram'}",,"{'packedBins': {'min': -0.21506990492343903, 'size': 0.007249996764585376, 'count': 64}, '_type': 'histogram', 'values': [1, 1, 0, 0, 3, 2, 3, 2, 4, 6, 3, 6, 7, 10, 11, 14, 19, 17, 23, 24, 34, 22, 21, 31, 28, 39, 35, 40, 57, 33, 46, 40, 40, 39, 48, 37, 35, 39, 22, 27, 23, 21, 26, 16, 9, 10, 6, 12, 11, 3, 5, 5, 2, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 1]}","{'packedBins': {'count': 64, 'min': -0.6461129784584045, 'size': 0.02083558216691017}, '_type': 'histogram', 'values': [1, 0, 0, 0, 6, 4, 1, 3, 8, 8, 11, 6, 19, 12, 29, 26, 32, 29, 35, 37, 38, 43, 55, 57, 55, 65, 60, 71, 77, 74, 71, 97, 72, 59, 69, 70, 67, 63, 53, 47, 48, 44, 31, 29, 26, 21, 17, 19, 17, 11, 13, 12, 9, 4, 4, 6, 1, 3, 4, 4, 1, 0, 1, 1]}",,"{'_type': 'histogram', 'values': [1], 'bins': [0.1315459907054901, 0.1315459907054901]}"
