parameters/mlp_extractor.policy_net.2.bias,rollout/ep_rew_mean,gradients/mlp_extractor.value_net.0.bias,curriculum/current_phase,gradients/mlp_extractor.value_net.0.weight,train/value_loss,gradients/value_net.weight,_step,gradients/mlp_extractor.policy_net.0.bias,rollout/ep_len_mean,train/explained_variance,robot/velocity_ms,parameters/mlp_extractor.policy_net.0.bias,parameters/action_net.weight,gradients/mlp_extractor.policy_net.0.weight,train/entropy_loss,parameters/action_net.bias,parameters/value_net.weight,gradients/log_std,parameters/mlp_extractor.value_net.2.weight,train/clip_fraction,parameters/mlp_extractor.policy_net.0.weight,parameters/value_net.bias,parameters/mlp_extractor.policy_net.2.weight,train/std,gradients/mlp_extractor.policy_net.2.bias,gradients/mlp_extractor.value_net.2.weight,gradients/mlp_extractor.value_net.2.bias,train/clip_range,gradients/action_net.weight,time/fps,_runtime,_timestamp,robot/total_distance,train/policy_gradient_loss,gradients/mlp_extractor.policy_net.2.weight,parameters/mlp_extractor.value_net.0.weight,train/learning_rate,gradients/value_net.bias,global_step,parameters/mlp_extractor.value_net.0.bias,robot/x_position,train/approx_kl,parameters/mlp_extractor.value_net.2.bias,robot/height,parameters/log_std,gradients/action_net.bias
"{'packedBins': {'min': -0.09077668190002441, 'size': 0.0025073906872421503, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 1, 1, 4, 0, 0, 2, 1, 2, 2, 0, 2, 2, 2, 1, 3, 0, 2, 2, 0, 0, 3, 3, 6, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 2, 2, 2, 2, 0, 1, 1, 0, 0, 1]}",,,0.0,,,,13591,,,,,"{'_type': 'histogram', 'values': [2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 0, 1, 1, 3, 2, 1, 1, 3, 2, 1, 1, 1, 2, 2, 1, 2, 0, 1, 4, 0, 2, 1, 1, 0, 4, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.07348466664552689, 'size': 0.0025553053710609674, 'count': 64}}","{'_type': 'histogram', 'values': [1, 0, 1, 3, 1, 0, 4, 1, 2, 5, 4, 7, 6, 9, 8, 8, 13, 10, 9, 11, 10, 4, 19, 10, 22, 15, 22, 10, 13, 11, 18, 14, 13, 16, 12, 18, 17, 19, 14, 8, 13, 9, 14, 15, 8, 11, 9, 8, 3, 3, 7, 5, 4, 2, 1, 2, 2, 3, 2, 0, 1, 1, 0, 1], 'packedBins': {'count': 64, 'min': -0.19708453118801117, 'size': 0.006376243429258466}}",,,"{'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1], 'packedBins': {'count': 64, 'min': -0.06867395341396332, 'size': 0.0016799395089037716}, '_type': 'histogram'}","{'_type': 'histogram', 'values': [1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 1, 3, 0, 4, 4, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 2, 1, 0, 2, 2, 3, 1, 2, 0, 4, 0, 3, 0, 0, 6, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1], 'packedBins': {'min': -0.31252890825271606, 'size': 0.01109989918768406, 'count': 64}}",,"{'packedBins': {'count': 64, 'min': -0.5857080221176147, 'size': 0.01854921132326126}, '_type': 'histogram', 'values': [3, 3, 2, 3, 4, 4, 6, 12, 11, 9, 22, 27, 24, 30, 39, 50, 58, 62, 75, 69, 85, 103, 114, 134, 111, 130, 156, 132, 177, 173, 146, 138, 148, 168, 166, 139, 141, 145, 115, 111, 111, 101, 101, 68, 85, 65, 58, 50, 41, 31, 31, 28, 20, 14, 12, 9, 4, 7, 4, 3, 2, 2, 3, 1]}",,"{'values': [3, 0, 1, 0, 0, 2, 4, 3, 4, 4, 2, 10, 7, 10, 5, 20, 18, 29, 25, 28, 44, 34, 46, 36, 58, 48, 48, 67, 51, 67, 51, 62, 73, 69, 82, 61, 65, 62, 66, 73, 57, 62, 43, 54, 39, 24, 41, 26, 21, 27, 29, 19, 14, 13, 8, 11, 8, 4, 3, 6, 3, 1, 3, 2], 'packedBins': {'min': -0.6021401286125183, 'size': 0.017673646099865437, 'count': 64}, '_type': 'histogram'}","{'values': [1], 'bins': [0.1389426440000534, 0.1389426440000534], '_type': 'histogram'}","{'values': [1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 3, 2, 7, 8, 9, 17, 32, 32, 34, 48, 56, 69, 93, 87, 95, 124, 141, 147, 151, 162, 164, 173, 193, 209, 197, 175, 188, 195, 162, 163, 152, 119, 96, 104, 97, 87, 74, 50, 42, 21, 27, 19, 17, 9, 11, 10, 9, 3, 4, 0, 0, 1, 1], 'packedBins': {'min': -0.7974862456321716, 'size': 0.02283669076859951, 'count': 64}, '_type': 'histogram'}",,,,,,,,2406.412698714,1759263788.0507376,,,,"{'packedBins': {'min': -0.6796990633010864, 'size': 0.022044457495212555, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 1, 1, 3, 6, 3, 10, 14, 12, 12, 17, 17, 14, 30, 30, 42, 45, 58, 63, 69, 97, 100, 97, 101, 105, 103, 116, 98, 86, 79, 67, 57, 63, 46, 44, 25, 26, 20, 22, 10, 12, 6, 11, 4, 3, 2, 1, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]}",,,1640448.0,"{'_type': 'histogram', 'values': [1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 1, 2, 3, 1, 2, 2, 1, 2, 2, 2, 0, 1, 1, 1, 0, 1, 2, 4, 0, 3, 0, 2, 4, 4, 3, 3, 3, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.27007195353507996, 'size': 0.010034933220595121, 'count': 64}}",,,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 3, 0, 2, 1, 1, 1, 4, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 1, 3, 0, 1, 2, 3, 0, 3, 2, 1, 2, 2, 3, 2, 1, 3, 1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 1], 'packedBins': {'min': -0.29742932319641113, 'size': 0.008404366206377745, 'count': 64}}",,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1], 'packedBins': {'min': -0.058836959302425385, 'size': 0.0025223703123629093, 'count': 64}}",
,,,,,,,15657,,,,,,,,,,,,,0.0073242188,,,,,,,,,,,2766.652393995,1759264150.5130982,,,,,,,1888256.0,,,,,,,
,,,,,,,15724,,,,,,,,,,,,,,,,,,,,,,,,2781.660678754,1759264162.3684666,,,,,,,1896448.0,,,0.0034818752,,,,
,,,,,,,16282,,1000.0,,,,,,,,,,,,,,,,,,,,,,2876.735046974,1759264261.0993154,,,,,,,1964032.0,,,,,,,
,,,,,,,18433,,,,,,,,,,,,,,,,,,,,,,,,3251.995676951,1759264637.589309,,-0.005306919,,,,,2222080.0,,,,,,,
,,,,,0.012200821,,18758,,,,,,,,,,,,,,,,,,,,,,,,3312.0373363,1759264693.5742571,,,,,,,2260992.0,,,,,,,
,,,,,,,19635,,,,,,,,,,,,,0.014038086,,,,,,,,,,,3462.137397369,1759264847.3894906,,,,,,,2367488.0,,,,,,,
,,,,,0.021519795,,19693,,,,,,,,,,,,,,,,,,,,,,,,3472.14421694,1759264856.4102864,,,,,,,2373632.0,,,,,,,
,,,,,,,20920,,,,,,,,,,,,,,,,,,,,,,,,3692.285049139,1759265074.4590333,0.9162795,,,,,,2523136.0,,,,,,,
,,,,,,,21137,,,,,,,,,,,,,,,,,1.0804684,,,,,,,3727.307436311,1759265110.1479836,,,,,,,2547712.0,,,,,,,
